# x y z vx vy vz l b d mul mub vr tub tail
-4.538040268361827145e+01 3.532716455055719129e-02 3.864854664760923320e-01 -3.657848526097039199e-02 -1.563966265720737603e-01 1.642758191496473952e-02 3.140647582068441412e+00 1.033888067673238362e-02 3.738241730832569942e+01 1.020394388822269856e-02 4.294066012370356504e-04 3.638592911429915783e-02 2.253001620978000119e+03 -1.000000000000000000e+00
-3.330814335156929928e+01 -1.648467318385001690e+01 -3.277546755655165178e-01 1.707379257169405751e-01 -1.134323728504010309e-01 -8.708248804051117384e-03 3.718922259496558524e+00 -1.085114907969425210e-02 3.020519811239914176e+01 1.247422590751729767e-02 -2.733253038534390897e-04 4.173740348719440219e-02 5.355363689730000260e+03 1.000000000000000000e+00
-4.496095858294404835e+00 -2.221620387767020688e+01 4.379700411254922043e-02 2.936966270541119250e-01 2.768379729721115456e-02 -8.202621595268207774e-04 4.868818805656007775e+00 1.947325420696036351e-03 2.249086430411333737e+01 1.153228816948088237e-02 -5.730782448106236002e-05 2.406573610336227020e-01 1.423578137247000086e+03 1.000000000000000000e+00
-4.262833479000394732e+01 1.036813634229964798e+01 -1.567976560851090662e-01 -9.673085406649387097e-02 -1.410050196333834660e-01 -2.202027619515949108e-02 2.850675465719486823e+00 -4.337727055860638586e-03 3.614753666636311635e+01 1.046742726452488947e-02 -6.106497684240480258e-04 -1.221865717484450775e-02 3.987613464930000760e+02 -1.000000000000000000e+00
-4.340137275977287601e+01 5.121394940097433235e+00 -2.650551966241819213e-01 -6.425638324853591432e-02 -1.510530028556234527e-01 6.947472029453117572e-03 2.997922817698909448e+00 -7.409870637967147684e-03 3.577088388153278231e+01 1.066190522613689670e-02 1.962363977560425629e-04 9.701291951502698588e-03 3.987613464930000760e+02 -1.000000000000000000e+00
-2.360104829605767662e+01 -2.216290983864429265e+01 -2.632688319475225414e-01 2.326002659619942625e-01 -1.203536441292307191e-01 -7.583900310074679664e-03 4.099032978950110540e+00 -9.713239249170521269e-03 2.710454926630721673e+01 1.435217574790541815e-02 -2.265683487927011184e-04 1.485786240804661262e-01 3.080431488059999992e+03 1.000000000000000000e+00
-2.644505770282549406e+01 -1.969195037921335967e+01 1.334261534512295455e-01 1.983476065560189627e-01 -1.017325218276691756e-01 -4.740370724479255060e-03 3.959674258281804082e+00 4.945085503676829516e-03 2.698167648491079262e+01 1.364352304767489470e-02 -1.945387145762097949e-04 1.028390367507321934e-01 4.025494573920000221e+03 1.000000000000000000e+00
-4.306076803993256874e+01 -8.759929040182180771e+00 7.328370696663140393e-02 6.269218250641735157e-02 -1.459874764948250747e-01 -1.167259859858821129e-02 3.386430031783506767e+00 2.027852089131131422e-03 3.613861069328331155e+01 1.037996372578238111e-02 -3.246276482805332260e-04 2.907979452967020262e-02 3.963686874930000158e+03 -1.000000000000000000e+00
-4.529690698950170713e+01 3.675961209202296853e+00 -5.166140544580077876e-01 -3.967188432543017340e-02 -1.804153131153743428e-01 7.533415360951879400e-03 3.043350528700606628e+00 -1.378372863212103810e-02 3.748117996910402638e+01 1.086910887104698166e-02 2.008684508060598964e-04 -3.877155244727831934e-04 4.107241097910000462e+02 -1.000000000000000000e+00
-1.856991697194813717e+00 -2.201667463273247449e+01 2.374182146750592262e-02 2.769178268676340537e-01 3.230353360595766832e-02 -1.232110877509133041e-02 4.984485148330746185e+00 1.038682910664047400e-03 2.285762622334230088e+01 9.403581632612617938e-03 -5.508527602745528443e-04 2.600129231670648133e-01 9.350952684660001069e+02 1.000000000000000000e+00
