# x y z vx vy vz l b d mul mub vr tub tail
-4.525173799999999602e+01 3.520578559999999746e-02 3.851551279999999577e-01 -3.605414724789449306e-03 -1.605178220130824840e-01 3.756582973169180612e-04 3.140647576205259028e+00 1.033887955816575714e-02 3.725374569007266956e+01 1.034898187538038292e-02 9.183768133214536059e-06 3.244782730325023422e-03 2.253001620978000119e+03 -1.000000000000000000e+00
-3.357361309999999577e+01 -1.665758939999999910e+01 -3.311925359999999818e-01 1.546956584703461646e-01 -1.245746154800997513e-01 1.176278893064159871e-04 3.718922266377604924e+00 -1.085114503550998859e-02 3.052203564809178715e+01 1.236376117592188906e-02 2.559986789592805801e-05 6.116397971524867305e-02 5.355363689730000260e+03 1.000000000000000000e+00
-4.420726799999999734e+00 -2.269407559999999791e+01 4.473930699999999205e-02 2.985487585151080925e-01 2.035510605564770995e-02 1.111081045397609808e-03 4.868818801123669715e+00 1.947335302910508216e-03 2.297464397078536535e+01 1.144837180367478009e-02 2.728510046619674338e-05 2.486562382774235302e-01 1.423578137247000086e+03 1.000000000000000000e+00
-4.201315429999999651e+01 1.018394370000000038e+01 -1.540121539999999845e-01 -9.165480626365896111e-02 -1.507665391516300191e-01 3.434557289609593226e-03 2.850675472956412548e+00 -4.337728334178918808e-03 3.550536712194309530e+01 1.087912056494820534e-02 9.429195998658471427e-05 -1.999166278598460758e-02 3.987613464930000760e+02 -1.000000000000000000e+00
-4.397111199999999087e+01 5.203816999999999915e+00 -2.693210399999999560e-01 -5.032530590443518720e-02 -1.599991389913898998e-01 1.510616909471846790e-03 2.997922822003141086e+00 -7.409874034946484396e-03 3.634656990293057532e+01 1.068175984825320626e-02 4.047670801430816199e-05 -5.326428186074131169e-03 3.987613464930000760e+02 -1.000000000000000000e+00
-2.314834480000000028e+01 -2.151979719999999929e+01 -2.556294100000000014e-01 2.244499362424816624e-01 -8.464153830529129452e-02 8.275806936968451528e-04 4.099032972545073150e+00 -9.713238679664634376e-03 2.631804263436153946e+01 1.374672345387265016e-02 7.720835889374181617e-05 1.239869944266390328e-01 3.080431488059999992e+03 1.000000000000000000e+00
-2.667113270000000114e+01 -1.993330789999999908e+01 1.350611939999999955e-01 2.056194522495683463e-01 -9.815715494769625127e-02 -1.915660990554859293e-03 3.959674252543806894e+00 4.945073822623408978e-03 2.731238183797481156e+01 1.358315118391902748e-02 -8.738958221379327588e-05 9.527246736968407459e-02 4.025494573920000221e+03 1.000000000000000000e+00
-4.294740669999999483e+01 -8.731605799999998752e+00 7.304693799999999182e-02 6.940814403556878898e-02 -1.550457711274360328e-01 2.542814885029584353e-04 3.386430033887979807e+00 2.027857026805479374e-03 3.602176440371778199e+01 1.070279543868650832e-02 5.663894047728993188e-06 2.478403791890736521e-02 3.963686874930000158e+03 -1.000000000000000000e+00
-4.436241199999999196e+01 3.583858649999999813e+00 -5.036701799999999674e-01 -3.658840628773259857e-02 -1.606094180574832997e-01 -1.430829524809009400e-03 3.043350509168010642e+00 -1.378373356778747963e-02 3.654206798925239497e+01 1.060072163095539255e-02 -3.968375293638273587e-05 -1.390024417633807649e-03 4.107241097910000462e+02 -1.000000000000000000e+00
-1.605393389999999920e+00 -2.291840660000000085e+01 2.471432739999999961e-02 2.973041327660982946e-01 4.432582160683991301e-02 -1.926892545072239550e-04 4.984485168750774520e+00 1.038687843684916795e-03 2.379380099054285580e+01 9.994655795986987987e-03 -1.918304801180056532e-05 2.539243865106144415e-01 9.350952684660001069e+02 1.000000000000000000e+00
-5.824521999999999977e+00 -2.333141729999999825e+01 9.797365099999999494e-02 2.930814629247209813e-01 1.450586320909080448e-02 1.318183696882840395e-03 4.805362588162129356e+00 4.181055082734243429e-03 2.343282604790795176e+01 1.161943227391506669e-02 1.400332652890574072e-05 2.367947600106640460e-01 8.493617770290001090e+02 1.000000000000000000e+00
-4.487591799999999864e+01 2.768239809999999412e+00 -2.480135079999999936e-01 -2.845204757552162456e-02 -1.596594426953443502e-01 2.393288345727493651e-04 3.066664151153193796e+00 -6.706651124147831877e-03 3.698050825351840842e+01 1.043023496016744038e-02 6.394982813612569979e-06 -4.241251944129033336e-04 1.393670963151000024e+03 -1.000000000000000000e+00
-4.428698999999999586e+01 2.669301110000000143e+00 -1.990909889999999960e-01 -3.653294401751356474e-02 -1.622872285603589870e-01 -8.192532659271545758e-04 3.068164078273491580e+00 -5.471727568602959002e-03 3.638558023307925993e+01 1.068902228712243635e-02 -2.130913244369407901e-05 8.026705116305430862e-03 6.699189983040000698e+02 -1.000000000000000000e+00
-4.193719479999999322e+01 1.335564089999999915e+01 -3.683189509999999500e-01 -1.020153006759425274e-01 -1.415941730518222585e-01 -2.116436349684597436e-03 2.766667687035700318e+00 -1.009871509557311829e-02 3.647248269027713263e+01 1.037777539158384575e-02 -6.891168871433854797e-05 -3.929436606388709424e-02 1.595045385972000304e+03 -1.000000000000000000e+00
6.808581299999999281e+00 -2.038110129999999742e+01 -9.974486399999998865e-02 2.948863724417060683e-01 9.798827726809376804e-02 2.855538628780782996e-03 5.340734628426971220e+00 -3.959220719918382127e-03 2.519312047677829014e+01 6.506070615373123200e-03 1.567332571008531585e-04 2.760727893364662844e-01 3.987613464930000760e+02 1.000000000000000000e+00
-4.484427000000000163e+01 -5.032973699999999440e+00 -5.967557199999999895e-01 3.956224501694557971e-02 -1.573950810792511257e-01 6.738861542743867280e-04 3.277353645675593175e+00 -1.604629423439030839e-02 3.719122441500338994e+01 1.033247035548482198e-02 2.353440973082862340e-05 1.254391278470865997e-02 3.620752377480000632e+03 -1.000000000000000000e+00
-2.487928829999999891e+01 -1.988828689999999710e+01 -1.440509889999999904e-01 2.178861730819142972e-01 -9.444960974380385565e-02 -1.132142798033484825e-03 4.008647217795904716e+00 -5.522202636110941192e-03 2.608591727385985948e+01 1.429252230645908575e-02 -2.168758784541678463e-05 1.025702455612417796e-01 3.794214837959999841e+03 1.000000000000000000e+00
-4.354184299999999297e+01 -9.361628899999999476e+00 3.303466399999999692e-01 6.701587468168258843e-02 -1.536729626745808597e-01 6.269148357538620938e-05 3.399140345003471175e+00 8.987783336200245651e-03 3.675556867197843758e+01 1.042740658405546042e-02 -6.032528991889495635e-06 3.164466477840862518e-02 4.396343426370000088e+03 -1.000000000000000000e+00
